"Country or Area","Year(s)","Variant","Value"
"Chile","2000-2005","Medium","5.375"
"China","2015-2020","Medium","7.121"
"China","2010-2015","Medium","7.003"
"China","2005-2010","Medium","6.849"
"China","2000-2005","Medium","6.645"
"China, Hong Kong SAR","2015-2020","Medium","6.605"
"China, Hong Kong SAR","2010-2015","Medium","6.393"
"China, Hong Kong SAR","2005-2010","Medium","5.929"
"China, Hong Kong SAR","2000-2005","Medium","5.492"
"China, Macao SAR","2015-2020","Medium","3.917"
"China, Macao SAR","2010-2015","Medium","3.65"
"China, Macao SAR","2005-2010","Medium","3.739"
"China, Macao SAR","2000-2005","Medium","3.803"
"Other non-specified areas","2015-2020","Medium","7.502"
"Other non-specified areas","2010-2015","Medium","6.932"
"Other non-specified areas","2005-2010","Medium","6.406"
"Other non-specified areas","2000-2005","Medium","6.045"
"Colombia","2015-2020","Medium","5.525"
"Colombia","2010-2015","Medium","5.335"
"Colombia","2005-2010","Medium","5.184"
"Colombia","2000-2005","Medium","5.145"
"Comoros","2015-2020","Medium","7.272"
"Comoros","2010-2015","Medium","7.794"
"Comoros","2005-2010","Medium","8.716"
"Comoros","2000-2005","Medium","9.39"
"Congo","2015-2020","Medium","6.754"
"Congo","2010-2015","Medium","7.837"
"Congo","2005-2010","Medium","9.562"
"Congo","2000-2005","Medium","12.217"
"Cook Islands","2015-2020","Medium",""
"Cook Islands","2010-2015","Medium",""
"Cook Islands","2005-2010","Medium",""
"Cook Islands","2000-2005","Medium",""
"Costa Rica","2015-2020","Medium","5.046"
"Costa Rica","2010-2015","Medium","4.687"
"Costa Rica","2005-2010","Medium","4.365"
"Costa Rica","2000-2005","Medium","4.058"
"Côte d'Ivoire","2015-2020","Medium","10.155"
"Côte d'Ivoire","2010-2015","Medium","11.573"
"Côte d'Ivoire","2005-2010","Medium","13.582"
"Côte d'Ivoire","2000-2005","Medium","15.022"
"Croatia","2015-2020","Medium","13.134"
"Croatia","2010-2015","Medium","12.223"
"Croatia","2005-2010","Medium","11.864"
"Croatia","2000-2005","Medium","11.587"
"Cuba","2015-2020","Medium","8.913"
"Cuba","2010-2015","Medium","8.106"
"Cuba","2005-2010","Medium","7.431"
"Cuba","2000-2005","Medium","7.241"
"Curaçao","2015-2020","Medium","8.766"
"Curaçao","2010-2015","Medium","8.09"
"Curaçao","2005-2010","Medium","8.153"
"Curaçao","2000-2005","Medium","8.194"
"Cyprus","2015-2020","Medium","6.991"
"Cyprus","2010-2015","Medium","6.756"
"Cyprus","2005-2010","Medium","6.794"
"Cyprus","2000-2005","Medium","6.792"
"Czechia","2015-2020","Medium","10.497"
"Czechia","2010-2015","Medium","10.314"
"Czechia","2005-2010","Medium","10.283"
"Czechia","2000-2005","Medium","10.653"
"Dem. People's Republic of Korea","2015-2020","Medium","9.057"
"Dem. People's Republic of Korea","2010-2015","Medium","8.59"
"Dem. People's Republic of Korea","2005-2010","Medium","8.96"
"Dem. People's Republic of Korea","2000-2005","Medium","8.344"
"Democratic Republic of the Congo","2015-2020","Medium","9.58"
"Democratic Republic of the Congo","2010-2015","Medium","10.87"
"Democratic Republic of the Congo","2005-2010","Medium","12.457"
"Democratic Republic of the Congo","2000-2005","Medium","14.741"
"Denmark","2015-2020","Medium","9.717"
"Denmark","2010-2015","Medium","9.453"
"Denmark","2005-2010","Medium","10.103"
"Denmark","2000-2005","Medium","10.719"
"Djibouti","2015-2020","Medium","7.078"
"Djibouti","2010-2015","Medium","8.714"
"Djibouti","2005-2010","Medium","9.465"
"Djibouti","2000-2005","Medium","10.191"
"Dominica","2015-2020","Medium",""
"Dominica","2010-2015","Medium",""
"Dominica","2005-2010","Medium",""
"Dominica","2000-2005","Medium",""
"Dominican Republic","2015-2020","Medium","6.127"
"Dominican Republic","2010-2015","Medium","6.066"
"Dominican Republic","2005-2010","Medium","6.014"
"Dominican Republic","2000-2005","Medium","6.08"
"Eastern Africa","2015-2020","Medium","6.914"
"Eastern Africa","2010-2015","Medium","8.286"
"Eastern Africa","2005-2010","Medium","10.714"
"Eastern Africa","2000-2005","Medium","13.436"
"Eastern and South-Eastern Asia","2015-2020","Medium","7.122"
"Eastern and South-Eastern Asia","2010-2015","Medium","6.993"
"Eastern and South-Eastern Asia","2005-2010","Medium","6.875"
"Eastern and South-Eastern Asia","2000-2005","Medium","6.772"
"Eastern Asia","2015-2020","Medium","7.368"
"Eastern Asia","2010-2015","Medium","7.196"
"Eastern Asia","2005-2010","Medium","6.976"
"Eastern Asia","2000-2005","Medium","6.72"
"Eastern Europe","2015-2020","Medium","12.677"
"Eastern Europe","2010-2015","Medium","12.949"
"Eastern Europe","2005-2010","Medium","13.951"
"Eastern Europe","2000-2005","Medium","14.359"
"Ecuador","2015-2020","Medium","5.099"
"Ecuador","2010-2015","Medium","5.103"
"Ecuador","2005-2010","Medium","5.046"
"Ecuador","2000-2005","Medium","5.073"
"Egypt","2015-2020","Medium","5.833"
"Egypt","2010-2015","Medium","6.118"
"Egypt","2005-2010","Medium","6.301"
"Egypt","2000-2005","Medium","6.465"
"El Salvador","2015-2020","Medium","7.024"
"El Salvador","2010-2015","Medium","6.903"
"El Salvador","2005-2010","Medium","6.799"
"El Salvador","2000-2005","Medium","6.695"
"Equatorial Guinea","2015-2020","Medium","9.434"
"Equatorial Guinea","2010-2015","Medium","10.617"
"Equatorial Guinea","2005-2010","Medium","11.92"
"Equatorial Guinea","2000-2005","Medium","13.018"
"Eritrea","2015-2020","Medium","7.244"
"Eritrea","2010-2015","Medium","8.204"
"Eritrea","2005-2010","Medium","9.368"
"Eritrea","2000-2005","Medium","10.568"
"Estonia","2015-2020","Medium","11.619"
"Estonia","2010-2015","Medium","11.7"
"Estonia","2005-2010","Medium","12.789"
"Estonia","2000-2005","Medium","13.322"
"Eswatini","2015-2020","Medium","9.42"
"Eswatini","2010-2015","Medium","13.627"
"Eswatini","2005-2010","Medium","18.095"
"Eswatini","2000-2005","Medium","17.52"
"Ethiopia","2015-2020","Medium","6.662"
"Ethiopia","2010-2015","Medium","7.589"
"Ethiopia","2005-2010","Medium","9.621"
"Ethiopia","2000-2005","Medium","12.705"
"Europe","2015-2020","Medium","11.022"
"Europe","2010-2015","Medium","10.939"
"Europe","2005-2010","Medium","11.292"
"Europe","2000-2005","Medium","11.641"
"Europe","2015-2020","Medium","11.022"
"Europe","2010-2015","Medium","10.939"
"Europe","2005-2010","Medium","11.292"
"Europe","2000-2005","Medium","11.641"
"Europe and Northern America","2015-2020","Medium","10.224"
"Europe and Northern America","2010-2015","Medium","10.018"
"Europe and Northern America","2005-2010","Medium","10.268"
"Europe and Northern America","2000-2005","Medium","10.649"
"Falkland Islands (Malvinas)","2015-2020","Medium",""
"Falkland Islands (Malvinas)","2010-2015","Medium",""
"Falkland Islands (Malvinas)","2005-2010","Medium",""
"Falkland Islands (Malvinas)","2000-2005","Medium",""
"Faroe Islands","2015-2020","Medium",""
"Faroe Islands","2010-2015","Medium",""
"Faroe Islands","2005-2010","Medium",""
"Faroe Islands","2000-2005","Medium",""
"Fiji","2015-2020","Medium","8.143"
"Fiji","2010-2015","Medium","8.192"
"Fiji","2005-2010","Medium","7.715"
"Fiji","2000-2005","Medium","7.024"
"Finland","2015-2020","Medium","9.728"
"Finland","2010-2015","Medium","9.547"
"Finland","2005-2010","Medium","9.364"
"Finland","2000-2005","Medium","9.449"
"France","2015-2020","Medium","9.269"
"France","2010-2015","Medium","8.735"
"France","2005-2010","Medium","8.587"
"France","2000-2005","Medium","8.928"
"French Guiana","2015-2020","Medium","2.924"
"French Guiana","2010-2015","Medium","2.905"
"French Guiana","2005-2010","Medium","3.176"
"French Guiana","2000-2005","Medium","3.444"
"French Polynesia","2015-2020","Medium","5.593"
"French Polynesia","2010-2015","Medium","5.259"
"French Polynesia","2005-2010","Medium","4.815"
"French Polynesia","2000-2005","Medium","4.803"
"Gabon","2015-2020","Medium","6.909"
"Gabon","2010-2015","Medium","8.248"
"Gabon","2005-2010","Medium","10.393"
"Gabon","2000-2005","Medium","11.74"
"Gambia","2015-2020","Medium","7.994"
"Gambia","2010-2015","Medium","8.654"
"Gambia","2005-2010","Medium","9.449"
"Gambia","2000-2005","Medium","10.591"
"Geographic regions","2015-2020","Medium",""
"Geographic regions","2010-2015","Medium",""
"Geographic regions","2005-2010","Medium",""
"Geographic regions","2000-2005","Medium",""
"Georgia","2015-2020","Medium","12.848"
"Georgia","2010-2015","Medium","13.19"
"Georgia","2005-2010","Medium","12.799"
"Georgia","2000-2005","Medium","11.903"
"Germany","2015-2020","Medium","11.158"
"Germany","2010-2015","Medium","10.928"
"Germany","2005-2010","Medium","10.372"
"Germany","2000-2005","Medium","10.318"
"Ghana","2015-2020","Medium","7.349"
"Ghana","2010-2015","Medium","8.043"
"Ghana","2005-2010","Medium","8.767"
"Ghana","2000-2005","Medium","10.077"
"Gibraltar","2015-2020","Medium",""
"Gibraltar","2010-2015","Medium",""
"Gibraltar","2005-2010","Medium",""
"Gibraltar","2000-2005","Medium",""
"Greece","2015-2020","Medium","10.812"
"Greece","2010-2015","Medium","10.155"
"Greece","2005-2010","Medium","9.552"
"Greece","2000-2005","Medium","9.134"
"Greenland","2015-2020","Medium",""
"Greenland","2010-2015","Medium",""
"Greenland","2005-2010","Medium",""
"Greenland","2000-2005","Medium",""
"Grenada","2015-2020","Medium","9.537"
"Grenada","2010-2015","Medium","9.242"
"Grenada","2005-2010","Medium","7.892"
"Grenada","2000-2005","Medium","7.366"
"Guadeloupe","2015-2020","Medium","8.189"
"Guadeloupe","2010-2015","Medium","7.723"
"Guadeloupe","2005-2010","Medium","7.172"
"Guadeloupe","2000-2005","Medium","6.931"
"Guam","2015-2020","Medium","5.179"
"Guam","2010-2015","Medium","5.004"
"Guam","2005-2010","Medium","4.734"
"Guam","2000-2005","Medium","4.61"
"Guatemala","2015-2020","Medium","4.753"
"Guatemala","2010-2015","Medium","4.961"
"Guatemala","2005-2010","Medium","5.384"
"Guatemala","2000-2005","Medium","5.869"
"Guinea","2015-2020","Medium","8.539"
"Guinea","2010-2015","Medium","10.269"
"Guinea","2005-2010","Medium","11.929"
"Guinea","2000-2005","Medium","14.995"
"Guinea-Bissau","2015-2020","Medium","9.718"
"Guinea-Bissau","2010-2015","Medium","10.911"
"Guinea-Bissau","2005-2010","Medium","12.632"
"Guinea-Bissau","2000-2005","Medium","14.201"
"Guyana","2015-2020","Medium","7.422"
"Guyana","2010-2015","Medium","7.103"
"Guyana","2005-2010","Medium","7.254"
"Guyana","2000-2005","Medium","7.367"
"Haiti","2015-2020","Medium","8.568"
"Haiti","2010-2015","Medium","9.286"
"Haiti","2005-2010","Medium","10.006"
"Haiti","2000-2005","Medium","10.941"
"High-income countries","2015-2020","Medium","8.752"
"High-income countries","2010-2015","Medium","8.415"
"High-income countries","2005-2010","Medium","8.288"
"High-income countries","2000-2005","Medium","8.435"
"Holy See","2015-2020","Medium",""
"Holy See","2010-2015","Medium",""
"Holy See","2005-2010","Medium",""
"Holy See","2000-2005","Medium",""
"Honduras","2015-2020","Medium","4.437"
"Honduras","2010-2015","Medium","4.456"
"Honduras","2005-2010","Medium","4.664"
"Honduras","2000-2005","Medium","5.004"
"Hungary","2015-2020","Medium","12.528"
"Hungary","2010-2015","Medium","12.724"
"Hungary","2005-2010","Medium","13.206"
"Hungary","2000-2005","Medium","13.237"
"Iceland","2015-2020","Medium","6.699"
"Iceland","2010-2015","Medium","6.4"
"Iceland","2005-2010","Medium","6.345"
"Iceland","2000-2005","Medium","6.275"
"India","2015-2020","Medium","7.237"
"India","2010-2015","Medium","7.263"
"India","2005-2010","Medium","7.806"
"India","2000-2005","Medium","8.375"
"Indonesia","2015-2020","Medium","6.447"
"Indonesia","2010-2015","Medium","6.5"
"Indonesia","2005-2010","Medium","6.886"
"Indonesia","2000-2005","Medium","7.468"
"Iran (Islamic Republic of)","2015-2020","Medium","4.879"
"Iran (Islamic Republic of)","2010-2015","Medium","4.765"
"Iran (Islamic Republic of)","2005-2010","Medium","5.058"
"Iran (Islamic Republic of)","2000-2005","Medium","5.021"
"Iraq","2015-2020","Medium","4.797"
"Iraq","2010-2015","Medium","5.196"
"Iraq","2005-2010","Medium","5.754"
"Iraq","2000-2005","Medium","5.619"
"Ireland","2015-2020","Medium","6.049"
"Ireland","2010-2015","Medium","6.242"
"Ireland","2005-2010","Medium","6.323"
"Ireland","2000-2005","Medium","7.256"
"Isle of Man","2015-2020","Medium",""
"Isle of Man","2010-2015","Medium",""
"Isle of Man","2005-2010","Medium",""
"Isle of Man","2000-2005","Medium",""
"Israel","2015-2020","Medium","5.334"
"Israel","2010-2015","Medium","5.431"
"Israel","2005-2010","Medium","5.517"
"Israel","2000-2005","Medium","5.758"
"Italy","2015-2020","Medium","10.474"
"Italy","2010-2015","Medium","10.121"
"Italy","2005-2010","Medium","9.739"
"Italy","2000-2005","Medium","9.791"
"Jamaica","2015-2020","Medium","7.562"
"Jamaica","2010-2015","Medium","7.455"
"Jamaica","2005-2010","Medium","7.135"
"Jamaica","2000-2005","Medium","6.838"
"Japan","2015-2020","Medium","10.427"
"Japan","2010-2015","Medium","9.828"
"Japan","2005-2010","Medium","8.77"
"Japan","2000-2005","Medium","7.897"
"Jordan","2015-2020","Medium","3.858"
"Jordan","2010-2015","Medium","3.805"
"Jordan","2005-2010","Medium","3.889"
"Jordan","2000-2005","Medium","4.02"
"Kazakhstan","2015-2020","Medium","7.129"
"Kazakhstan","2010-2015","Medium","8.903"
"Kazakhstan","2005-2010","Medium","10.39"
"Kazakhstan","2000-2005","Medium","10.817"
"Kenya","2015-2020","Medium","5.518"
"Kenya","2010-2015","Medium","6.632"
"Kenya","2005-2010","Medium","8.652"
"Kenya","2000-2005","Medium","12.147"
"Kiribati","2015-2020","Medium","6.336"
"Kiribati","2010-2015","Medium","6.859"
"Kiribati","2005-2010","Medium","7.182"
"Kiribati","2000-2005","Medium","7.528"
"Kuwait","2015-2020","Medium","2.666"
"Kuwait","2010-2015","Medium","2.354"
"Kuwait","2005-2010","Medium","2.511"
"Kuwait","2000-2005","Medium","2.558"
"Kyrgyzstan","2015-2020","Medium","6.065"
"Kyrgyzstan","2010-2015","Medium","6.46"
"Kyrgyzstan","2005-2010","Medium","7.676"
"Kyrgyzstan","2000-2005","Medium","7.539"
"Land-locked Developing Countries (LLDC)","2015-2020","Medium","7.254"
"Land-locked Developing Countries (LLDC)","2010-2015","Medium","8.317"
"Land-locked Developing Countries (LLDC)","2005-2010","Medium","10.219"
"Land-locked Developing Countries (LLDC)","2000-2005","Medium","12.183"
"Lao People's Democratic Republic","2015-2020","Medium","6.48"
"Lao People's Democratic Republic","2010-2015","Medium","7.004"
"Lao People's Democratic Republic","2005-2010","Medium","7.888"
"Lao People's Democratic Republic","2000-2005","Medium","9.06"
"Latin America and the Caribbean","2015-2020","Medium","6.295"
"Latin America and the Caribbean","2010-2015","Medium","6.037"
"Latin America and the Caribbean","2005-2010","Medium","5.892"
"Latin America and the Caribbean","2000-2005","Medium","5.89"
"Latin America and the Caribbean","2015-2020","Medium","6.295"
"Latin America and the Caribbean","2010-2015","Medium","6.037"
"Latin America and the Caribbean","2005-2010","Medium","5.892"
"Latin America and the Caribbean","2000-2005","Medium","5.89"
"Latvia","2015-2020","Medium","14.598"
"Latvia","2010-2015","Medium","13.817"
"Latvia","2005-2010","Medium","14.734"
"Latvia","2000-2005","Medium","14.101"
"Least developed countries","2015-2020","Medium","7.363"
"Least developed countries","2010-2015","Medium","8.283"
"Least developed countries","2005-2010","Medium","9.753"
"Least developed countries","2000-2005","Medium","11.508"
"Lebanon","2015-2020","Medium","4.308"
"Lebanon","2010-2015","Medium","3.989"
"Lebanon","2005-2010","Medium","3.922"
"Lebanon","2000-2005","Medium","4.304"
"Lesotho","2015-2020","Medium","14.327"
"Lesotho","2010-2015","Medium","17.459"
"Lesotho","2005-2010","Medium","20.439"
"Lesotho","2000-2005","Medium","18.724"
"Less developed regions","2015-2020","Medium","7.023"
"Less developed regions","2010-2015","Medium","7.193"
"Less developed regions","2005-2010","Medium","7.605"
"Less developed regions","2000-2005","Medium","8.029"
"Less developed regions, excluding China","2015-2020","Medium","6.993"
"Less developed regions, excluding China","2010-2015","Medium","7.254"
"Less developed regions, excluding China","2005-2010","Medium","7.861"
"Less developed regions, excluding China","2000-2005","Medium","8.523"
"Less developed regions, excluding least developed countries","2015-2020","Medium","6.959"
"Less developed regions, excluding least developed countries","2010-2015","Medium","7"
"Less developed regions, excluding least developed countries","2005-2010","Medium","7.246"
"Less developed regions, excluding least developed countries","2000-2005","Medium","7.48"
"Liberia","2015-2020","Medium","7.599"
"Liberia","2010-2015","Medium","9.006"
"Liberia","2005-2010","Medium","10.617"
"Liberia","2000-2005","Medium","13.993"
"Libya","2015-2020","Medium","5.07"
"Libya","2010-2015","Medium","5.092"
"Libya","2005-2010","Medium","4.521"
"Libya","2000-2005","Medium","4.624"
"Liechtenstein","2015-2020","Medium",""
"Liechtenstein","2010-2015","Medium",""
"Liechtenstein","2005-2010","Medium",""
"Liechtenstein","2000-2005","Medium",""
"Lithuania","2015-2020","Medium","13.564"
"Lithuania","2010-2015","Medium","13.457"
"Lithuania","2005-2010","Medium","13.984"
"Lithuania","2000-2005","Medium","12.365"
"Low-income countries","2015-2020","Medium","7.711"
"Low-income countries","2010-2015","Medium","8.828"
"Low-income countries","2005-2010","Medium","10.567"
"Low-income countries","2000-2005","Medium","12.606"
"Lower-middle-income countries","2015-2020","Medium","7.328"
"Lower-middle-income countries","2010-2015","Medium","7.556"
"Lower-middle-income countries","2005-2010","Medium","8.14"
"Lower-middle-income countries","2000-2005","Medium","8.806"
"Luxembourg","2015-2020","Medium","7.137"
"Luxembourg","2010-2015","Medium","7.381"
"Luxembourg","2005-2010","Medium","8.186"
"Luxembourg","2000-2005","Medium","8.563"
"Madagascar","2015-2020","Medium","6.129"
"Madagascar","2010-2015","Medium","6.893"
"Madagascar","2005-2010","Medium","7.943"
"Madagascar","2000-2005","Medium","9.227"
"Malawi","2015-2020","Medium","6.772"
"Malawi","2010-2015","Medium","8.643"
"Malawi","2005-2010","Medium","13.269"
"Malawi","2000-2005","Medium","17.407"
"Malaysia","2015-2020","Medium","5.054"
"Malaysia","2010-2015","Medium","4.742"
"Malaysia","2005-2010","Medium","4.591"
"Malaysia","2000-2005","Medium","4.49"
"Maldives","2015-2020","Medium","2.839"
"Maldives","2010-2015","Medium","3.328"
"Maldives","2005-2010","Medium","3.73"
"Maldives","2000-2005","Medium","4.172"
"Mali","2015-2020","Medium","9.821"
"Mali","2010-2015","Medium","11.608"
"Mali","2005-2010","Medium","13.569"
"Mali","2000-2005","Medium","16.752"
"Malta","2015-2020","Medium","8.24"
"Malta","2010-2015","Medium","7.789"
"Malta","2005-2010","Medium","7.594"
"Malta","2000-2005","Medium","7.299"
"Marshall Islands","2015-2020","Medium",""
"Marshall Islands","2010-2015","Medium",""
"Marshall Islands","2005-2010","Medium",""
"Marshall Islands","2000-2005","Medium",""
