Female,Number recovered,Country,Male,Number of cases currently hospitalised,Case fatality ratio (%),Number of deaths,Date of last report,Date for which cumulative number of cases is current,Number of new cases since last WHO update,Local transmission,Date onset first probable case,Cumulative number of cases,report date,Number of imported cases,percentage of imported cases,Number of HCW affected,percentage of HCW affected,median age,minimum age,maximum age
,5.0,Thailand,,,,2.0,2003-05-13,2003-05-21,0.0,,,8.0,2003-05-24,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-23,0.0,,,4.0,2003-05-24,,,,,,,
,33.0,United States,,,,0.0,2003-05-17,2003-05-23,0.0,,,65.0,2003-05-24,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-24,,,,,,,
,4468.0,Total,,,,696.0,,,34.0,,,8141.0,2003-05-24,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-26,0.0,,,6.0,2003-05-26,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-26,,,,,,,
,110.0,Canada,,,,26.0,2003-05-25,2003-05-25,8.0,,,148.0,2003-05-26,,,,,,,
,2829.0,China,,,,317.0,2003-05-26,2003-05-26,24.0,,,5316.0,2003-05-26,,,,,,,
,1276.0,Hong Kong,,,,267.0,2003-05-26,2003-05-26,2.0,,,1726.0,2003-05-26,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-26,0.0,,,2.0,2003-05-26,,,,,,,
,112.0,Taiwan,,,,72.0,2003-05-26,2003-05-26,62.0,,,585.0,2003-05-26,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-26,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-26,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-26,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-26,0.0,,,9.0,2003-05-26,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-26,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-23,0.0,,,2.0,2003-05-26,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-24,0.0,,,9.0,2003-05-26,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-26,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-26,0.0,,,5.0,2003-05-26,,,,,,,
,8.0,Mongolia,,,,0.0,2003-05-06,2003-05-19,0.0,,,9.0,2003-05-26,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-26,0.0,,,1.0,2003-05-26,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-24,0.0,,,12.0,2003-05-26,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-26,,,,,,,
,2.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-26,0.0,,,3.0,2003-05-26,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-26,,,,,,,
,163.0,Singapore,,,,31.0,2003-05-18,2003-05-23,0.0,,,206.0,2003-05-26,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-26,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-26,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-26,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-26,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-25,0.0,,,8.0,2003-05-26,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-23,0.0,,,4.0,2003-05-26,,,,,,,
,33.0,United States,,,,0.0,2003-05-17,2003-05-23,0.0,,,65.0,2003-05-26,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-26,,,,,,,
,4662.0,Total,,,,725.0,,,96.0,,,8202.0,2003-05-26,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-27,0.0,,,6.0,2003-05-27,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-27,,,,,,,
,111.0,Canada,,,,26.0,2003-05-25,2003-05-26,0.0,,,148.0,2003-05-27,,,,,,,
,2944.0,China,,,,321.0,2003-05-27,2003-05-27,9.0,,,5322.0,2003-05-27,,,,,,,
,1285.0,Hong Kong,,,,269.0,2003-05-27,2003-05-27,2.0,,,1728.0,2003-05-27,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-27,0.0,,,2.0,2003-05-27,,,,,,,
,112.0,Taiwan,,,,76.0,2003-05-27,2003-05-27,13.0,,,596.0,2003-05-27,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-27,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-27,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-27,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-26,0.0,,,9.0,2003-05-27,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-27,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-23,0.0,,,2.0,2003-05-27,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-27,0.0,,,9.0,2003-05-27,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-27,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-26,0.0,,,5.0,2003-05-27,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-05-27,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-27,0.0,,,1.0,2003-05-27,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-27,0.0,,,12.0,2003-05-27,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-27,,,,,,,
,2.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-26,0.0,,,3.0,2003-05-27,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-27,,,,,,,
,163.0,Singapore,,,,31.0,2003-05-18,2003-05-23,0.0,,,206.0,2003-05-27,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-27,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-27,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-27,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-27,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-26,0.0,,,8.0,2003-05-27,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-27,0.0,,,4.0,2003-05-27,,,,,,,
,32.0,United States,,,,0.0,2003-05-17,2003-05-24,0.0,,,65.0,2003-05-27,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-27,,,,,,,
,4787.0,Total,,,,735.0,,,24.0,,,8221.0,2003-05-27,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-27,0.0,,,6.0,2003-05-28,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-28,,,,,,,
,111.0,Canada,,,,26.0,2003-05-27,2003-05-27,1.0,,,149.0,2003-05-28,,,,,,,
,3036.0,China,,,,325.0,2003-05-28,2003-05-28,4.0,,,5323.0,2003-05-28,,,,,,,
,1295.0,Hong Kong,,,,270.0,2003-05-28,2003-05-28,2.0,,,1730.0,2003-05-28,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-28,0.0,,,2.0,2003-05-28,,,,,,,
,112.0,Taiwan,,,,81.0,2003-05-28,2003-05-28,22.0,,,610.0,2003-05-28,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-28,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-28,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-28,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-28,0.0,,,9.0,2003-05-28,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-28,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-28,0.0,,,2.0,2003-05-28,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-28,0.0,,,9.0,2003-05-28,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-28,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-26,0.0,,,5.0,2003-05-28,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-05-28,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-28,0.0,,,1.0,2003-05-28,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-28,0.0,,,12.0,2003-05-28,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-28,,,,,,,
,2.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-28,0.0,,,3.0,2003-05-28,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-28,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-28,0.0,,,206.0,2003-05-28,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-28,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-28,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-28,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-28,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-27,0.0,,,8.0,2003-05-28,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-28,0.0,,,4.0,2003-05-28,,,,,,,
,32.0,United States,,,,0.0,2003-05-27,2003-05-27,1.0,,,66.0,2003-05-28,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-28,,,,,,,
,4891.0,Total,,,,745.0,,,30.0,,,8240.0,2003-05-28,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-27,0.0,,,6.0,2003-05-29,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-29,,,,,,,
,112.0,Canada,,,,26.0,2003-05-28,2003-05-28,2.0,,,151.0,2003-05-29,,,,,,,
,3121.0,China,,,,327.0,2003-05-29,2003-05-29,3.0,,,5325.0,2003-05-29,,,,,,,
,1302.0,Hong Kong,,,,273.0,2003-05-29,2003-05-29,2.0,,,1732.0,2003-05-29,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-29,0.0,,,1.0,2003-05-29,,,,,,,
,122.0,Taiwan,,,,81.0,2003-05-29,2003-05-29,60.0,,,660.0,2003-05-29,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-29,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-29,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-29,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-28,0.0,,,9.0,2003-05-29,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-29,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-29,0.0,,,2.0,2003-05-29,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-28,0.0,,,9.0,2003-05-29,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-29,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-29,0.0,,,5.0,2003-05-29,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-05-29,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-29,0.0,,,1.0,2003-05-29,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-29,0.0,,,12.0,2003-05-29,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-29,,,,,,,
,2.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-29,0.0,,,3.0,2003-05-29,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-29,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-28,0.0,,,206.0,2003-05-29,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-29,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-29,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-29,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-29,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-28,0.0,,,8.0,2003-05-29,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-28,0.0,,,4.0,2003-05-29,,,,,,,
,32.0,United States,,,,0.0,2003-05-27,2003-05-28,0.0,,,66.0,2003-05-29,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-29,,,,,,,
,4994.0,Total,,,,750.0,,,67.0,,,8295.0,2003-05-29,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-27,0.0,,,6.0,2003-05-30,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-30,,,,,,,
,112.0,Canada,,,,28.0,2003-05-29,2003-05-29,8.0,,,159.0,2003-05-30,,,,,,,
,3250.0,China,,,,328.0,2003-05-30,2003-05-30,7.0,,,5328.0,2003-05-30,,,,,,,
,1304.0,Hong Kong,,,,274.0,2003-05-30,2003-05-30,4.0,,,1736.0,2003-05-30,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-30,0.0,,,1.0,2003-05-30,,,,,,,
,125.0,Taiwan,,,,81.0,2003-05-30,2003-05-30,7.0,,,667.0,2003-05-30,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-30,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-30,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-30,,,,,,,
,9.0,Germany,,,,0.0,2003-05-09,2003-05-28,0.0,,,9.0,2003-05-30,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-30,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-29,0.0,,,2.0,2003-05-30,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-30,0.0,,,9.0,2003-05-30,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-30,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-29,0.0,,,5.0,2003-05-30,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-05-30,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-30,0.0,,,1.0,2003-05-30,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-30,0.0,,,12.0,2003-05-30,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-30,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-30,0.0,,,3.0,2003-05-30,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-30,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-29,0.0,,,206.0,2003-05-30,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-30,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-30,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-30,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-30,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-28,0.0,,,8.0,2003-05-30,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-30,0.0,,,4.0,2003-05-30,,,,,,,
,32.0,United States,,,,0.0,2003-05-27,2003-05-29,0.0,,,66.0,2003-05-30,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-30,,,,,,,
,5129.0,Total,,,,754.0,,,26.0,,,8317.0,2003-05-30,,,,,,,
,6.0,Australia,,,,0.0,2003-05-12,2003-05-27,0.0,,,6.0,2003-05-31,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-05-31,,,,,,,
,116.0,Canada,,,,30.0,2003-05-30,2003-05-30,29.0,,,188.0,2003-05-31,,,,,,,
,3371.0,China,,,,332.0,2003-05-31,2003-05-31,1.0,,,5328.0,2003-05-31,,,,,,,
,1310.0,Hong Kong,,,,278.0,2003-05-31,2003-05-31,3.0,,,1739.0,2003-05-31,,,,,,,
,0.0,Macao,,,,0.0,2003-05-21,2003-05-31,0.0,,,1.0,2003-05-31,,,,,,,
,129.0,Taiwan,,,,81.0,2003-05-31,2003-05-31,9.0,,,676.0,2003-05-31,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-05-31,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-05-31,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-05-31,,,,,,,
,9.0,Germany,,,,0.0,2003-05-30,2003-05-30,1.0,,,10.0,2003-05-31,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-05-31,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-31,0.0,,,2.0,2003-05-31,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-30,0.0,,,9.0,2003-05-31,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-05-31,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-05-31,0.0,,,5.0,2003-05-31,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-05-31,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-30,0.0,,,1.0,2003-05-31,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-05-30,0.0,,,12.0,2003-05-31,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-05-31,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-05-31,0.0,,,3.0,2003-05-31,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-05-31,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,1.0,,,1.0,2003-05-31,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-30,0.0,,,206.0,2003-05-31,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-05-31,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-05-31,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-05-31,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-05-31,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-05-28,0.0,,,8.0,2003-05-31,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-30,0.0,,,4.0,2003-05-31,,,,,,,
,32.0,United States,,,,0.0,2003-05-27,2003-05-29,0.0,,,66.0,2003-05-31,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-05-31,,,,,,,
,5264.0,Total,,,,764.0,,,44.0,,,8360.0,2003-05-31,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-02,0.0,,,5.0,2003-06-02,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-02,,,,,,,
,116.0,Canada,,,,30.0,2003-06-01,2003-06-01,10.0,,,198.0,2003-06-02,,,,,,,
,3495.0,China,,,,334.0,2003-06-02,2003-06-02,2.0,,,5328.0,2003-06-02,,,,,,,
,1319.0,Hong Kong,,,,282.0,2003-06-02,2003-06-02,7.0,,,1746.0,2003-06-02,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-02,0.0,,,1.0,2003-06-02,,,,,,,
,134.0,Taiwan,,,,81.0,2003-06-02,2003-06-02,9.0,,,684.0,2003-06-02,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-02,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-02,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-02,,,,,,,
,9.0,Germany,,,,0.0,2003-05-30,2003-05-30,0.0,,,10.0,2003-06-02,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-02,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-05-31,0.0,,,2.0,2003-06-02,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-05-30,0.0,,,9.0,2003-06-02,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-02,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-02,0.0,,,5.0,2003-06-02,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-06-02,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-05-30,0.0,,,1.0,2003-06-02,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-02,0.0,,,12.0,2003-06-02,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-02,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-02,0.0,,,3.0,2003-06-02,,,,,,,
,1.0,Romania,,,,0.0,2003-03-27,2003-04-22,0.0,,,1.0,2003-06-02,,,,,,,
,0.0,Russian Federation,,,,0.0,2003-05-31,2003-05-31,0.0,,,1.0,2003-06-02,,,,,,,
,165.0,Singapore,,,,31.0,2003-05-18,2003-05-31,0.0,,,206.0,2003-06-02,,,,,,,
,0.0,South Africa,,,,1.0,2003-04-09,2003-05-03,0.0,,,1.0,2003-06-02,,,,,,,
,1.0,Spain,,,,0.0,2003-04-02,2003-05-07,0.0,,,1.0,2003-06-02,,,,,,,
,3.0,Sweden,,,,0.0,2003-04-18,2003-05-13,0.0,,,3.0,2003-06-02,,,,,,,
,1.0,Switzerland,,,,0.0,2003-03-17,2003-05-16,0.0,,,1.0,2003-06-02,,,,,,,
,6.0,Thailand,,,,2.0,2003-05-13,2003-06-01,0.0,,,8.0,2003-06-02,,,,,,,
,4.0,United Kingdom,,,,0.0,2003-04-29,2003-05-30,0.0,,,4.0,2003-06-02,,,,,,,
,32.0,United States,,,,0.0,2003-05-27,2003-05-30,0.0,,,66.0,2003-06-02,,,,,,,
,58.0,Viet Nam,,,,5.0,2003-04-14,2003-05-14,0.0,,,63.0,2003-06-02,,,,,,,
,5402.0,Total,,,,770.0,,,28.0,,,8384.0,2003-06-02,,,,,,,
,5.0,Australia,,,,0.0,2003-05-12,2003-06-03,0.0,,,5.0,2003-06-03,,,,,,,
,2.0,Brazil,,,,0.0,2003-04-10,2003-04-24,0.0,,,2.0,2003-06-03,,,,,,,
,116.0,Canada,,,,31.0,2003-06-02,2003-06-02,15.0,,,213.0,2003-06-03,,,,,,,
,3558.0,China,,,,334.0,2003-06-03,2003-06-03,3.0,,,5329.0,2003-06-03,,,,,,,
,1326.0,Hong Kong,,,,283.0,2003-06-03,2003-06-03,1.0,,,1747.0,2003-06-03,,,,,,,
,1.0,Macao,,,,0.0,2003-05-21,2003-06-03,0.0,,,1.0,2003-06-03,,,,,,,
,136.0,Taiwan,,,,81.0,2003-06-03,2003-06-03,1.0,,,679.0,2003-06-03,,,,,,,
,1.0,Colombia,,,,0.0,2003-05-05,2003-05-05,0.0,,,1.0,2003-06-03,,,,,,,
,1.0,Finland,,,,0.0,2003-05-07,2003-05-20,0.0,,,1.0,2003-06-03,,,,,,,
,6.0,France,,,,0.0,2003-05-09,2003-05-22,0.0,,,7.0,2003-06-03,,,,,,,
,9.0,Germany,,,,0.0,2003-05-30,2003-06-03,0.0,,,10.0,2003-06-03,,,,,,,
,3.0,India,,,,0.0,2003-05-13,2003-05-14,0.0,,,3.0,2003-06-03,,,,,,,
,2.0,Indonesia,,,,0.0,2003-04-23,2003-06-03,0.0,,,2.0,2003-06-03,,,,,,,
,9.0,Italy,,,,0.0,2003-04-29,2003-06-03,0.0,,,9.0,2003-06-03,,,,,,,
,1.0,Kuwait,,,,0.0,2003-04-09,2003-04-20,0.0,,,1.0,2003-06-03,,,,,,,
,3.0,Malaysia,,,,2.0,2003-05-20,2003-06-02,0.0,,,5.0,2003-06-03,,,,,,,
,9.0,Mongolia,,,,0.0,2003-05-06,2003-05-27,0.0,,,9.0,2003-06-03,,,,,,,
,1.0,New Zealand,,,,0.0,2003-04-30,2003-06-03,0.0,,,1.0,2003-06-03,,,,,,,
,10.0,Philippines,,,,2.0,2003-05-15,2003-06-03,0.0,,,12.0,2003-06-03,,,,,,,
,1.0,Republic of Ireland,,,,0.0,2003-03-21,2003-05-23,0.0,,,1.0,2003-06-03,,,,,,,
,3.0,Republic of Korea,,,,0.0,2003-05-14,2003-06-03,0.0,,,3.0,2003-06-03,,,,,,,
